session,run,direction,a,b,target,hits,trials,success_probability,top,top_count
baseline direct RCA,baseline_direct4,forward,0,0,0,93,100,0.93,0,93
baseline direct RCA,baseline_direct4,forward,0,1,1,91,100,0.91,1,91
baseline direct RCA,baseline_direct4,forward,0,2,2,89,100,0.89,2,89
baseline direct RCA,baseline_direct4,forward,0,3,3,87,100,0.87,3,87
baseline direct RCA,baseline_direct4,forward,0,4,4,86,100,0.86,4,86
baseline direct RCA,baseline_direct4,forward,0,5,5,91,100,0.91,5,91
baseline direct RCA,baseline_direct4,forward,0,6,6,90,100,0.9,6,90
baseline direct RCA,baseline_direct4,forward,0,7,7,88,100,0.88,7,88
baseline direct RCA,baseline_direct4,forward,0,8,8,94,100,0.94,8,94
baseline direct RCA,baseline_direct4,forward,0,9,9,94,100,0.94,9,94
baseline direct RCA,baseline_direct4,forward,0,10,10,87,100,0.87,10,87
baseline direct RCA,baseline_direct4,forward,0,11,11,84,100,0.84,11,84
baseline direct RCA,baseline_direct4,forward,0,12,12,93,100,0.93,12,93
baseline direct RCA,baseline_direct4,forward,0,13,13,89,100,0.89,13,89
baseline direct RCA,baseline_direct4,forward,0,14,14,87,100,0.87,14,87
baseline direct RCA,baseline_direct4,forward,0,15,15,88,100,0.88,15,88
baseline direct RCA,baseline_direct4,forward,1,0,1,90,100,0.9,1,90
baseline direct RCA,baseline_direct4,forward,1,1,2,91,100,0.91,2,91
baseline direct RCA,baseline_direct4,forward,1,2,3,79,100,0.79,3,79
baseline direct RCA,baseline_direct4,forward,1,3,4,92,100,0.92,4,92
baseline direct RCA,baseline_direct4,forward,1,4,5,94,100,0.94,5,94
baseline direct RCA,baseline_direct4,forward,1,5,6,78,100,0.78,6,78
baseline direct RCA,baseline_direct4,forward,1,6,7,95,100,0.95,7,95
baseline direct RCA,baseline_direct4,forward,1,7,8,75,100,0.75,8,75
baseline direct RCA,baseline_direct4,forward,1,8,9,93,100,0.93,9,93
baseline direct RCA,baseline_direct4,forward,1,9,10,88,100,0.88,10,88
baseline direct RCA,baseline_direct4,forward,1,10,11,92,100,0.92,11,92
baseline direct RCA,baseline_direct4,forward,1,11,12,76,100,0.76,12,76
baseline direct RCA,baseline_direct4,forward,1,12,13,90,100,0.9,13,90
baseline direct RCA,baseline_direct4,forward,1,13,14,73,100,0.73,14,73
baseline direct RCA,baseline_direct4,forward,1,14,15,94,100,0.94,15,94
baseline direct RCA,baseline_direct4,forward,1,15,16,50,100,0.5,16,50
baseline direct RCA,baseline_direct4,forward,2,0,2,91,100,0.91,2,91
baseline direct RCA,baseline_direct4,forward,2,1,3,91,100,0.91,3,91
baseline direct RCA,baseline_direct4,forward,2,2,4,89,100,0.89,4,89
baseline direct RCA,baseline_direct4,forward,2,3,5,84,100,0.84,5,84
