gate,state,energy,valid
AND,000,-3,True
AND,100,-3,True
AND,010,-3,True
AND,110,1,False
AND,001,9,False
AND,101,1,False
AND,011,1,False
AND,111,-3,True
OR,000,-3,True
OR,100,1,False
OR,010,1,False
OR,110,9,False
OR,001,1,False
OR,101,-3,True
OR,011,-3,True
OR,111,-3,True
NAND,000,9,False
NAND,100,1,False
NAND,010,1,False
NAND,110,-3,True
NAND,001,-3,True
NAND,101,-3,True
NAND,011,-3,True
NAND,111,1,False
NOR,000,1,False
NOR,100,-3,True
NOR,010,-3,True
NOR,110,-3,True
NOR,001,-3,True
NOR,101,1,False
NOR,011,1,False
NOR,111,9,False
HA/XOR,0000,-4,True
HA/XOR,1000,-2,False
HA/XOR,0100,-2,False
HA/XOR,1100,4,False
HA/XOR,0010,-2,False
HA/XOR,1010,-4,True
HA/XOR,0110,-4,True
HA/XOR,1110,-2,False
HA/XOR,0001,4,False
HA/XOR,1001,-2,False
HA/XOR,0101,-2,False
HA/XOR,1101,-4,True
HA/XOR,0011,14,False
HA/XOR,1011,4,False
HA/XOR,0111,4,False
HA/XOR,1111,-2,False
XNOR,0000,-2,False
XNOR,1000,-4,True
XNOR,0100,-4,True
XNOR,1100,-2,False
XNOR,0010,-4,True
XNOR,1010,-2,False
XNOR,0110,-2,False
XNOR,1110,4,False
XNOR,0001,14,False
XNOR,1001,4,False
XNOR,0101,4,False
XNOR,1101,-2,False
XNOR,0011,4,False
XNOR,1011,-2,False
XNOR,0111,-2,False
XNOR,1111,-4,True
FA,00000,-4,True
FA,10000,-2,False
FA,01000,-2,False
FA,11000,4,False
FA,00100,-2,False
FA,10100,4,False
FA,01100,4,False
FA,11100,14,False
FA,00010,-2,False
FA,10010,-4,True
FA,01010,-4,True
FA,11010,-2,False
FA,00110,-4,True
FA,10110,-2,False
FA,01110,-2,False
FA,11110,4,False
FA,00001,4,False
FA,10001,-2,False
FA,01001,-2,False
FA,11001,-4,True
FA,00101,-2,False
FA,10101,-4,True
FA,01101,-4,True
FA,11101,-2,False
FA,00011,14,False
FA,10011,4,False
FA,01011,4,False
FA,11011,-2,False
FA,00111,4,False
FA,10111,-2,False
FA,01111,-2,False
FA,11111,-4,True
