run,pattern,sum,valid_total,invalid_total,trials,valid_rate,parallel,reverse,block_rnd,copy_rnd,scramble_rnd,blocks,copy_cycles,settle_cycles,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
sum_baseline_direct4,baseline direct integer RCA,0,720,280,1000,0.72,true,false,1,0,1,"0,0,0,0",0,500,1,1,1.0,1.0,0.0
sum_baseline_direct4,baseline direct integer RCA,1,800,200,1000,0.8,true,false,1,0,1,"0,0,0,0",0,500,2,2,1.0,0.9996347869992872,0.011249999999999982
sum_baseline_direct4,baseline direct integer RCA,2,823,177,1000,0.823,true,false,1,0,1,"0,0,0,0",0,500,3,3,1.0,0.9813421685642418,0.09275010125556907
sum_baseline_direct4,baseline direct integer RCA,3,878,122,1000,0.878,true,false,1,0,1,"0,0,0,0",0,500,4,4,1.0,0.9994842503606368,0.017084282460136685
sum_baseline_direct4,baseline direct integer RCA,4,866,134,1000,0.866,true,false,1,0,1,"0,0,0,0",0,500,5,5,1.0,0.936005579873788,0.20831408775981525
sum_baseline_direct4,baseline direct integer RCA,5,889,111,1000,0.889,true,false,1,0,1,"0,0,0,0",0,500,6,6,1.0,0.9975843438062275,0.04330708661417322
sum_baseline_direct4,baseline direct integer RCA,6,886,114,1000,0.886,true,false,1,0,1,"0,0,0,0",0,500,7,7,1.0,0.9796709704134713,0.08997097710415997
sum_baseline_direct4,baseline direct integer RCA,7,898,102,1000,0.898,true,false,1,0,1,"0,0,0,0",0,500,8,8,1.0,0.9980812962441631,0.03591314031180402
sum_baseline_direct4,baseline direct integer RCA,8,861,139,1000,0.861,true,false,1,0,1,"0,0,0,0",0,500,9,9,1.0,0.9254562100095383,0.2671312427409988
sum_baseline_direct4,baseline direct integer RCA,9,879,121,1000,0.879,true,false,1,0,1,"0,0,0,0",0,500,10,10,1.0,0.9883119964026751,0.09624573378839589
sum_baseline_direct4,baseline direct integer RCA,10,879,121,1000,0.879,true,false,1,0,1,"0,0,0,0",0,500,11,11,1.0,0.9851441670009732,0.10973213362291862
sum_baseline_direct4,baseline direct integer RCA,11,892,108,1000,0.892,true,false,1,0,1,"0,0,0,0",0,500,12,12,1.0,0.9935348324445792,0.07473841554559041
sum_baseline_direct4,baseline direct integer RCA,12,879,121,1000,0.879,true,false,1,0,1,"0,0,0,0",0,500,13,13,1.0,0.9243719986543968,0.2847641550713223
sum_baseline_direct4,baseline direct integer RCA,13,896,104,1000,0.896,true,false,1,0,1,"0,0,0,0",0,500,14,14,1.0,0.9845613472163286,0.12165178571428571
sum_baseline_direct4,baseline direct integer RCA,14,895,105,1000,0.895,true,false,1,0,1,"0,0,0,0",0,500,15,15,1.0,0.9853606990573138,0.11359404096834265
sum_baseline_direct4,baseline direct integer RCA,15,905,95,1000,0.905,true,false,1,0,1,"0,0,0,0",0,500,16,16,1.0,0.9974819316970657,0.04820441988950276
sum_baseline_direct4,baseline direct integer RCA,16,878,122,1000,0.878,true,false,1,0,1,"0,0,0,0",0,500,15,15,1.0,0.9194317244329918,0.2783599088838269
sum_baseline_direct4,baseline direct integer RCA,17,888,112,1000,0.888,true,false,1,0,1,"0,0,0,0",0,500,14,14,1.0,0.9802117531220752,0.12483912483912483
sum_baseline_direct4,baseline direct integer RCA,18,885,115,1000,0.885,true,false,1,0,1,"0,0,0,0",0,500,13,13,1.0,0.9919589699119207,0.08970013037809647
sum_baseline_direct4,baseline direct integer RCA,19,893,107,1000,0.893,true,false,1,0,1,"0,0,0,0",0,500,12,12,1.0,0.9956822711933074,0.06821575214632325
sum_baseline_direct4,baseline direct integer RCA,20,865,135,1000,0.865,true,false,1,0,1,"0,0,0,0",0,500,11,11,1.0,0.8864884967719361,0.31035207566999473
sum_baseline_direct4,baseline direct integer RCA,21,869,131,1000,0.869,true,false,1,0,1,"0,0,0,0",0,500,10,10,1.0,0.9781897411411103,0.14890678941311852
sum_baseline_direct4,baseline direct integer RCA,22,865,135,1000,0.865,true,false,1,0,1,"0,0,0,0",0,500,9,9,1.0,0.9840552649892956,0.09197174052665383
sum_baseline_direct4,baseline direct integer RCA,23,868,132,1000,0.868,true,false,1,0,1,"0,0,0,0",0,500,8,8,1.0,0.9981111284824248,0.035714285714285726
