run,copy_c_to_q_physical,reverse_q_to_c_physical,sum,valid_total,invalid_total,trials,valid_rate,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
q34_idea24_copy_3_3,3,3,0,0,200,200,0.0,1,0,0.0,0.0,1.0
q34_idea24_copy_3_3,3,3,1,0,200,200,0.0,2,0,0.0,0.0,1.0
q34_idea24_copy_3_3,3,3,2,0,200,200,0.0,3,0,0.0,0.0,1.0
q34_idea24_copy_3_3,3,3,3,0,200,200,0.0,4,0,0.0,0.0,1.0
q34_idea24_copy_3_3,3,3,4,0,200,200,0.0,5,0,0.0,0.0,1.0
q34_idea24_copy_3_3,3,3,5,0,200,200,0.0,6,0,0.0,0.0,1.0
q34_idea24_copy_3_3,3,3,6,174,26,200,0.87,7,2,0.2857142857142857,0.2968154081886745,0.7142857142857143
q34_idea24_copy_3_3,3,3,7,167,33,200,0.835,8,5,0.625,0.6646163595727205,0.5052395209580838
q34_idea24_copy_3_3,3,3,8,192,8,200,0.96,9,2,0.2222222222222222,0.3124705942952515,0.7777777777777777
q34_idea24_copy_3_3,3,3,9,165,35,200,0.825,10,4,0.4,0.5925333725016987,0.6
q34_idea24_copy_3_3,3,3,10,199,1,200,0.995,11,1,0.09090909090909091,0.0,0.9090909090909091
q34_idea24_copy_3_3,3,3,11,167,33,200,0.835,12,4,0.3333333333333333,0.4240548176869335,0.7135728542914171
q34_idea24_copy_3_3,3,3,12,194,6,200,0.97,13,1,0.07692307692307693,0.0,0.9230769230769231
q34_idea24_copy_3_3,3,3,13,167,33,200,0.835,14,2,0.14285714285714285,0.2606828327743823,0.8571428571428572
q34_idea24_copy_3_3,3,3,14,174,26,200,0.87,15,4,0.26666666666666666,0.4009062666525555,0.7942528735632184
q34_idea24_copy_3_3,3,3,15,167,33,200,0.835,16,7,0.4375,0.6495694017585233,0.5770958083832335
q34_idea24_copy_3_3,3,3,16,193,7,200,0.965,15,4,0.26666666666666666,0.4492473256642543,0.7333333333333334
q34_idea24_copy_3_3,3,3,17,166,34,200,0.83,14,7,0.5,0.669908957855249,0.5654044750430293
q34_idea24_copy_3_3,3,3,18,200,0,200,1.0,13,2,0.15384615384615385,0.2674243053793544,0.8461538461538463
q34_idea24_copy_3_3,3,3,19,168,32,200,0.84,12,6,0.5,0.6675541810690208,0.5476190476190476
q34_idea24_copy_3_3,3,3,20,195,5,200,0.975,11,2,0.18181818181818182,0.2870820805639248,0.8181818181818182
q34_idea24_copy_3_3,3,3,21,168,32,200,0.84,10,4,0.4,0.5928526496369293,0.6
q34_idea24_copy_3_3,3,3,22,173,27,200,0.865,9,2,0.2222222222222222,0.26357524116163533,0.7777777777777777
q34_idea24_copy_3_3,3,3,23,166,34,200,0.83,8,5,0.625,0.6608765604618461,0.5105421686746988
q34_idea24_copy_3_3,3,3,24,193,7,200,0.965,7,2,0.2857142857142857,0.353159071902323,0.7142857142857142
q34_idea24_copy_3_3,3,3,25,166,34,200,0.83,6,4,0.6666666666666666,0.7610726417076916,0.3373493975903614
q34_idea24_copy_3_3,3,3,26,200,0,200,1.0,5,1,0.2,0.0,0.8
q34_idea24_copy_3_3,3,3,27,168,32,200,0.84,4,4,1.0,0.7587319970947992,0.380952380952381
q34_idea24_copy_3_3,3,3,28,195,5,200,0.975,3,1,0.3333333333333333,0.0,0.6666666666666667
q34_idea24_copy_3_3,3,3,29,168,32,200,0.84,2,2,1.0,0.9917033083725818,0.053571428571428575
q34_idea24_copy_3_3,3,3,30,0,200,200,0.0,1,0,0.0,0.0,1.0
q34_idea24_copy_2_2,2,2,0,0,200,200,0.0,1,0,0.0,0.0,1.0
q34_idea24_copy_2_2,2,2,1,20,180,200,0.1,2,1,0.5,0.0,0.5
q34_idea24_copy_2_2,2,2,2,20,180,200,0.1,3,1,0.3333333333333333,0.0,0.6666666666666667
q34_idea24_copy_2_2,2,2,3,19,181,200,0.095,4,2,0.5,0.4747260076939743,0.5
q34_idea24_copy_2_2,2,2,4,186,14,200,0.93,5,2,0.4,0.42776252284758576,0.6
q34_idea24_copy_2_2,2,2,5,185,15,200,0.925,6,4,0.6666666666666666,0.5284554977132185,0.5855855855855856
q34_idea24_copy_2_2,2,2,6,191,9,200,0.955,7,2,0.2857142857142857,0.33616030065019614,0.7142857142857143
q34_idea24_copy_2_2,2,2,7,182,18,200,0.91,8,5,0.625,0.6503921082931969,0.5151098901098901
q34_idea24_copy_2_2,2,2,8,186,14,200,0.93,9,4,0.4444444444444444,0.5344583211895821,0.5967741935483871
q34_idea24_copy_2_2,2,2,9,180,20,200,0.9,10,5,0.5,0.3157255222608791,0.7111111111111111
q34_idea24_copy_2_2,2,2,10,185,15,200,0.925,11,3,0.2727272727272727,0.17039146647179718,0.800982800982801
q34_idea24_copy_2_2,2,2,11,177,23,200,0.885,12,7,0.5833333333333334,0.45033922461342996,0.7033898305084746
q34_idea24_copy_2_2,2,2,12,185,15,200,0.925,13,5,0.38461538461538464,0.5078736533270841,0.6814968814968816
q34_idea24_copy_2_2,2,2,13,182,18,200,0.91,14,6,0.42857142857142855,0.5606595842807442,0.6318681318681318
q34_idea24_copy_2_2,2,2,14,188,12,200,0.94,15,4,0.26666666666666666,0.46055145173424616,0.7333333333333334
q34_idea24_copy_2_2,2,2,15,179,21,200,0.895,16,9,0.5625,0.6775354313830787,0.5412011173184358
q34_idea24_copy_2_2,2,2,16,188,12,200,0.94,15,8,0.5333333333333333,0.6595616990551917,0.5709219858156028
