"sum","a","b","count","prob_all_trials","prob_given_valid","valid_total","invalid_total","trials","reverse"
"0","0","0","0","0.000000","","0","1000","1000","true"
"1","0","1","0","0.000000","","0","1000","1000","true"
"1","1","0","0","0.000000","","0","1000","1000","true"
"2","0","2","90","0.090000","0.466321","193","807","1000","true"
"2","1","1","91","0.091000","0.471503","193","807","1000","true"
"2","2","0","12","0.012000","0.062176","193","807","1000","true"
"3","0","3","195","0.195000","1.000000","195","805","1000","true"
"3","1","2","0","0.000000","0.000000","195","805","1000","true"
"3","2","1","0","0.000000","0.000000","195","805","1000","true"
"3","3","0","0","0.000000","0.000000","195","805","1000","true"
"4","0","4","100","0.100000","0.170358","587","413","1000","true"
"4","1","3","33","0.033000","0.056218","587","413","1000","true"
"4","2","2","43","0.043000","0.073254","587","413","1000","true"
"4","3","1","352","0.352000","0.599659","587","413","1000","true"
"4","4","0","59","0.059000","0.100511","587","413","1000","true"
"5","0","5","7","0.007000","0.009223","759","241","1000","true"
"5","1","4","186","0.186000","0.245059","759","241","1000","true"
"5","2","3","184","0.184000","0.242424","759","241","1000","true"
"5","3","2","43","0.043000","0.056653","759","241","1000","true"
"5","4","1","150","0.150000","0.197628","759","241","1000","true"
"5","5","0","189","0.189000","0.249012","759","241","1000","true"
"6","0","6","90","0.090000","0.091093","988","12","1000","true"
"6","1","5","277","0.277000","0.280364","988","12","1000","true"
"6","2","4","330","0.330000","0.334008","988","12","1000","true"
"6","3","3","0","0.000000","0.000000","988","12","1000","true"
"6","4","2","45","0.045000","0.045547","988","12","1000","true"
"6","5","1","207","0.207000","0.209514","988","12","1000","true"
"6","6","0","39","0.039000","0.039474","988","12","1000","true"
"7","0","7","413","0.413000","0.417594","989","11","1000","true"
"7","1","6","146","0.146000","0.147624","989","11","1000","true"
"7","2","5","0","0.000000","0.000000","989","11","1000","true"
"7","3","4","75","0.075000","0.075834","989","11","1000","true"
"7","4","3","76","0.076000","0.076845","989","11","1000","true"
"7","5","2","45","0.045000","0.045501","989","11","1000","true"
"7","6","1","65","0.065000","0.065723","989","11","1000","true"
"7","7","0","169","0.169000","0.170880","989","11","1000","true"
"8","0","8","0","0.000000","0.000000","982","18","1000","true"
"8","1","7","134","0.134000","0.136456","982","18","1000","true"
"8","2","6","296","0.296000","0.301426","982","18","1000","true"
"8","3","5","189","0.189000","0.192464","982","18","1000","true"
"8","4","4","159","0.159000","0.161914","982","18","1000","true"
"8","5","3","0","0.000000","0.000000","982","18","1000","true"
"8","6","2","43","0.043000","0.043788","982","18","1000","true"
"8","7","1","161","0.161000","0.163951","982","18","1000","true"
"8","8","0","0","0.000000","0.000000","982","18","1000","true"
"9","0","9","0","0.000000","0.000000","983","17","1000","true"
"9","1","8","0","0.000000","0.000000","983","17","1000","true"
"9","2","7","275","0.275000","0.279756","983","17","1000","true"
"9","3","6","13","0.013000","0.013225","983","17","1000","true"
"9","4","5","158","0.158000","0.160732","983","17","1000","true"
"9","5","4","376","0.376000","0.382503","983","17","1000","true"
"9","6","3","118","0.118000","0.120041","983","17","1000","true"
"9","7","2","43","0.043000","0.043744","983","17","1000","true"
"9","8","1","0","0.000000","0.000000","983","17","1000","true"
"9","9","0","0","0.000000","0.000000","983","17","1000","true"
"10","0","10","0","0.000000","0.000000","990","10","1000","true"
"10","1","9","0","0.000000","0.000000","990","10","1000","true"
"10","2","8","0","0.000000","0.000000","990","10","1000","true"
"10","3","7","0","0.000000","0.000000","990","10","1000","true"
"10","4","6","45","0.045000","0.045455","990","10","1000","true"
"10","5","5","396","0.396000","0.400000","990","10","1000","true"
"10","6","4","357","0.357000","0.360606","990","10","1000","true"
"10","7","3","0","0.000000","0.000000","990","10","1000","true"
"10","8","2","90","0.090000","0.090909","990","10","1000","true"
"10","9","1","90","0.090000","0.090909","990","10","1000","true"
"10","10","0","12","0.012000","0.012121","990","10","1000","true"
"11","0","11","0","0.000000","0.000000","990","10","1000","true"
"11","1","10","0","0.000000","0.000000","990","10","1000","true"
"11","2","9","0","0.000000","0.000000","990","10","1000","true"
"11","3","8","0","0.000000","0.000000","990","10","1000","true"
"11","4","7","294","0.294000","0.296970","990","10","1000","true"
"11","5","6","192","0.192000","0.193939","990","10","1000","true"
"11","6","5","66","0.066000","0.066667","990","10","1000","true"
"11","7","4","244","0.244000","0.246465","990","10","1000","true"
"11","8","3","194","0.194000","0.195960","990","10","1000","true"
"11","9","2","0","0.000000","0.000000","990","10","1000","true"
"11","10","1","0","0.000000","0.000000","990","10","1000","true"
"11","11","0","0","0.000000","0.000000","990","10","1000","true"
"12","0","12","0","0.000000","0.000000","981","19","1000","true"
"12","1","11","25","0.025000","0.025484","981","19","1000","true"
"12","2","10","0","0.000000","0.000000","981","19","1000","true"
"12","3","9","187","0.187000","0.190622","981","19","1000","true"
"12","4","8","0","0.000000","0.000000","981","19","1000","true"
"12","5","7","99","0.099000","0.100917","981","19","1000","true"
"12","6","6","296","0.296000","0.301733","981","19","1000","true"
"12","7","5","1","0.001000","0.001019","981","19","1000","true"
"12","8","4","100","0.100000","0.101937","981","19","1000","true"
"12","9","3","8","0.008000","0.008155","981","19","1000","true"
"12","10","2","43","0.043000","0.043833","981","19","1000","true"
"12","11","1","165","0.165000","0.168196","981","19","1000","true"
"12","12","0","57","0.057000","0.058104","981","19","1000","true"
"13","0","13","7","0.007000","0.007157","978","22","1000","true"
"13","1","12","125","0.125000","0.127812","978","22","1000","true"
"13","2","11","64","0.064000","0.065440","978","22","1000","true"
"13","3","10","0","0.000000","0.000000","978","22","1000","true"
"13","4","9","63","0.063000","0.064417","978","22","1000","true"
"13","5","8","122","0.122000","0.124744","978","22","1000","true"
"13","6","7","208","0.208000","0.212679","978","22","1000","true"
"13","7","6","13","0.013000","0.013292","978","22","1000","true"
"13","8","5","0","0.000000","0.000000","978","22","1000","true"
