gate,scenario,label,y_clamped,y_value,ab,count,probability,valid_for_clamped_y
AND,0,forward A=0 B=0,0,0,00,30000,1.000000,0
AND,0,forward A=0 B=0,0,0,01,0,0.000000,0
AND,0,forward A=0 B=0,0,0,10,0,0.000000,0
AND,0,forward A=0 B=0,0,0,11,0,0.000000,0
AND,1,forward A=0 B=1,0,0,00,0,0.000000,0
AND,1,forward A=0 B=1,0,0,01,30000,1.000000,0
AND,1,forward A=0 B=1,0,0,10,0,0.000000,0
AND,1,forward A=0 B=1,0,0,11,0,0.000000,0
AND,2,forward A=1 B=0,0,0,00,0,0.000000,0
AND,2,forward A=1 B=0,0,0,01,0,0.000000,0
AND,2,forward A=1 B=0,0,0,10,30000,1.000000,0
AND,2,forward A=1 B=0,0,0,11,0,0.000000,0
AND,3,forward A=1 B=1,0,0,00,0,0.000000,0
AND,3,forward A=1 B=1,0,0,01,0,0.000000,0
AND,3,forward A=1 B=1,0,0,10,0,0.000000,0
AND,3,forward A=1 B=1,0,0,11,30000,1.000000,0
AND,4,reverse Y=0,1,0,00,10151,0.338367,1
AND,4,reverse Y=0,1,0,01,9354,0.311800,1
AND,4,reverse Y=0,1,0,10,10316,0.343867,1
AND,4,reverse Y=0,1,0,11,179,0.005967,0
AND,5,reverse Y=1,1,1,00,0,0.000000,0
AND,5,reverse Y=1,1,1,01,587,0.019567,0
AND,5,reverse Y=1,1,1,10,579,0.019300,0
AND,5,reverse Y=1,1,1,11,28834,0.961133,1
