gate,scenario,label,state,count,probability,valid_state
AND,0,forward A=0 B=0,000,30000,1.000000,1
AND,1,forward A=0 B=1,010,29351,0.978367,1
AND,1,forward A=0 B=1,011,649,0.021633,0
AND,2,forward A=1 B=0,100,29351,0.978367,1
AND,2,forward A=1 B=0,101,649,0.021633,0
AND,3,forward A=1 B=1,110,630,0.021000,0
AND,3,forward A=1 B=1,111,29370,0.979000,1
AND,4,reverse Y=0,000,10151,0.338367,1
AND,4,reverse Y=0,010,9354,0.311800,1
AND,4,reverse Y=0,100,10316,0.343867,1
AND,4,reverse Y=0,110,179,0.005967,0
AND,5,reverse Y=1,011,587,0.019567,0
AND,5,reverse Y=1,101,579,0.019300,0
AND,5,reverse Y=1,111,28834,0.961133,1
