gate,scenario,label,valid_rate,y_one_rate,state_probabilities,ab_probabilities
AND,0,forward A=0 B=0,0.99999386,0.00000614,000:1.000 001:0.000,00:1.000 01:0.000 10:0.000 11:0.000
AND,1,forward A=0 B=1,0.98201379,0.01798621,010:0.982 011:0.018,00:0.000 01:1.000 10:0.000 11:0.000
AND,2,forward A=1 B=0,0.98201379,0.01798621,100:0.982 101:0.018,00:0.000 01:0.000 10:1.000 11:0.000
AND,3,forward A=1 B=1,0.98201379,0.98201379,111:0.982 110:0.018,00:0.000 01:0.000 10:0.000 11:1.000
AND,4,reverse Y=0,0.99393183,0.00000000,000:0.331 100:0.331 010:0.331 110:0.006,00:0.331 01:0.331 10:0.331 11:0.006
AND,5,reverse Y=1,0.96465744,1.00000000,111:0.965 101:0.018 011:0.018 001:0.000,00:0.000 01:0.018 10:0.018 11:0.965
OR,0,forward A=0 B=0,0.98201379,0.01798621,000:0.982 001:0.018,00:1.000 01:0.000 10:0.000 11:0.000
OR,1,forward A=0 B=1,0.98201379,0.98201379,011:0.982 010:0.018,00:0.000 01:1.000 10:0.000 11:0.000
OR,2,forward A=1 B=0,0.98201379,0.98201379,101:0.982 100:0.018,00:0.000 01:0.000 10:1.000 11:0.000
OR,3,forward A=1 B=1,0.99999386,0.99999386,111:1.000 110:0.000,00:0.000 01:0.000 10:0.000 11:1.000
OR,4,reverse Y=0,0.96465744,0.00000000,000:0.965 100:0.018 010:0.018 110:0.000,00:0.965 01:0.018 10:0.018 11:0.000
OR,5,reverse Y=1,0.99393183,1.00000000,101:0.331 011:0.331 111:0.331 001:0.006,00:0.006 01:0.331 10:0.331 11:0.331
NAND,0,forward A=0 B=0,0.99999386,0.99999386,001:1.000 000:0.000,00:1.000 01:0.000 10:0.000 11:0.000
NAND,1,forward A=0 B=1,0.98201379,0.98201379,011:0.982 010:0.018,00:0.000 01:1.000 10:0.000 11:0.000
NAND,2,forward A=1 B=0,0.98201379,0.98201379,101:0.982 100:0.018,00:0.000 01:0.000 10:1.000 11:0.000
NAND,3,forward A=1 B=1,0.98201379,0.01798621,110:0.982 111:0.018,00:0.000 01:0.000 10:0.000 11:1.000
NAND,4,reverse Y=0,0.96465744,0.00000000,110:0.965 100:0.018 010:0.018 000:0.000,00:0.000 01:0.018 10:0.018 11:0.965
NAND,5,reverse Y=1,0.99393183,1.00000000,001:0.331 101:0.331 011:0.331 111:0.006,00:0.331 01:0.331 10:0.331 11:0.006
NOR,0,forward A=0 B=0,0.98201379,0.98201379,001:0.982 000:0.018,00:1.000 01:0.000 10:0.000 11:0.000
NOR,1,forward A=0 B=1,0.98201379,0.01798621,010:0.982 011:0.018,00:0.000 01:1.000 10:0.000 11:0.000
NOR,2,forward A=1 B=0,0.98201379,0.01798621,100:0.982 101:0.018,00:0.000 01:0.000 10:1.000 11:0.000
NOR,3,forward A=1 B=1,0.99999386,0.00000614,110:1.000 111:0.000,00:0.000 01:0.000 10:0.000 11:1.000
NOR,4,reverse Y=0,0.99393183,0.00000000,100:0.331 010:0.331 110:0.331 000:0.006,00:0.006 01:0.331 10:0.331 11:0.331
NOR,5,reverse Y=1,0.96465744,1.00000000,001:0.965 101:0.018 011:0.018 111:0.000,00:0.965 01:0.018 10:0.018 11:0.000
XOR,0,forward A=0 B=0,0.88053689,0.11916772,0000:0.881 0010:0.119 0001:0.000 0011:0.000,00:1.000 01:0.000 10:0.000 11:0.000
XOR,1,forward A=0 B=1,0.78677833,0.78704226,0110:0.787 0100:0.106 0101:0.106 0111:0.000,00:0.000 01:1.000 10:0.000 11:0.000
XOR,2,forward A=1 B=0,0.78677833,0.78704226,1010:0.787 1000:0.106 1001:0.106 1011:0.000,00:0.000 01:0.000 10:1.000 11:0.000
XOR,3,forward A=1 B=1,0.78677833,0.21295774,1101:0.787 1110:0.106 1111:0.106 1100:0.000,00:0.000 01:0.000 10:0.000 11:1.000
XOR,4,reverse Y=0,0.78677833,0.00000000,0000:0.393 1101:0.393 1000:0.053 0100:0.053 1001:0.053 0101:0.053 1100:0.000 0001:0.000,00:0.394 01:0.106 10:0.106 11:0.394
XOR,5,reverse Y=1,0.83102144,1.00000000,1010:0.416 0110:0.416 0010:0.056 1110:0.056 1111:0.056 1011:0.000 0111:0.000 0011:0.000,00:0.056 01:0.416 10:0.416 11:0.112
XNOR,0,forward A=0 B=0,0.88053689,0.88083228,0010:0.881 0000:0.119 0011:0.000 0001:0.000,00:1.000 01:0.000 10:0.000 11:0.000
XNOR,1,forward A=0 B=1,0.78677833,0.21295774,0100:0.787 0110:0.106 0111:0.106 0101:0.000,00:0.000 01:1.000 10:0.000 11:0.000
XNOR,2,forward A=1 B=0,0.78677833,0.21295774,1000:0.787 1010:0.106 1011:0.106 1001:0.000,00:0.000 01:0.000 10:1.000 11:0.000
XNOR,3,forward A=1 B=1,0.78677833,0.78704226,1111:0.787 1100:0.106 1101:0.106 1110:0.000,00:0.000 01:0.000 10:0.000 11:1.000
XNOR,4,reverse Y=0,0.83102144,0.00000000,1000:0.416 0100:0.416 0000:0.056 1100:0.056 1101:0.056 1001:0.000 0101:0.000 0001:0.000,00:0.056 01:0.416 10:0.416 11:0.112
XNOR,5,reverse Y=1,0.78677833,1.00000000,0010:0.393 1111:0.393 1010:0.053 0110:0.053 1011:0.053 0111:0.053 1110:0.000 0011:0.000,00:0.394 01:0.106 10:0.106 11:0.394
