gate,scenario,label,state,probability,valid_state
AND,0,forward A=0 B=0,000,0.99999386,1
AND,0,forward A=0 B=0,001,0.00000614,0
AND,1,forward A=0 B=1,010,0.98201379,1
AND,1,forward A=0 B=1,011,0.01798621,0
AND,2,forward A=1 B=0,100,0.98201379,1
AND,2,forward A=1 B=0,101,0.01798621,0
AND,3,forward A=1 B=1,110,0.01798621,0
AND,3,forward A=1 B=1,111,0.98201379,1
AND,4,reverse Y=0,000,0.33131061,1
AND,4,reverse Y=0,010,0.33131061,1
AND,4,reverse Y=0,100,0.33131061,1
AND,4,reverse Y=0,110,0.00606817,0
AND,5,reverse Y=1,001,0.00000593,0
AND,5,reverse Y=1,011,0.01766832,0
AND,5,reverse Y=1,101,0.01766832,0
AND,5,reverse Y=1,111,0.96465744,1
OR,0,forward A=0 B=0,000,0.98201379,1
OR,0,forward A=0 B=0,001,0.01798621,0
OR,1,forward A=0 B=1,010,0.01798621,0
OR,1,forward A=0 B=1,011,0.98201379,1
OR,2,forward A=1 B=0,100,0.01798621,0
OR,2,forward A=1 B=0,101,0.98201379,1
OR,3,forward A=1 B=1,110,0.00000614,0
OR,3,forward A=1 B=1,111,0.99999386,1
OR,4,reverse Y=0,000,0.96465744,1
OR,4,reverse Y=0,010,0.01766832,0
OR,4,reverse Y=0,100,0.01766832,0
OR,4,reverse Y=0,110,0.00000593,0
OR,5,reverse Y=1,001,0.00606817,0
OR,5,reverse Y=1,011,0.33131061,1
OR,5,reverse Y=1,101,0.33131061,1
OR,5,reverse Y=1,111,0.33131061,1
NAND,0,forward A=0 B=0,000,0.00000614,0
NAND,0,forward A=0 B=0,001,0.99999386,1
NAND,1,forward A=0 B=1,010,0.01798621,0
NAND,1,forward A=0 B=1,011,0.98201379,1
NAND,2,forward A=1 B=0,100,0.01798621,0
NAND,2,forward A=1 B=0,101,0.98201379,1
NAND,3,forward A=1 B=1,110,0.98201379,1
NAND,3,forward A=1 B=1,111,0.01798621,0
NAND,4,reverse Y=0,000,0.00000593,0
NAND,4,reverse Y=0,010,0.01766832,0
NAND,4,reverse Y=0,100,0.01766832,0
NAND,4,reverse Y=0,110,0.96465744,1
NAND,5,reverse Y=1,001,0.33131061,1
NAND,5,reverse Y=1,011,0.33131061,1
NAND,5,reverse Y=1,101,0.33131061,1
NAND,5,reverse Y=1,111,0.00606817,0
NOR,0,forward A=0 B=0,000,0.01798621,0
NOR,0,forward A=0 B=0,001,0.98201379,1
NOR,1,forward A=0 B=1,010,0.98201379,1
NOR,1,forward A=0 B=1,011,0.01798621,0
NOR,2,forward A=1 B=0,100,0.98201379,1
NOR,2,forward A=1 B=0,101,0.01798621,0
NOR,3,forward A=1 B=1,110,0.99999386,1
NOR,3,forward A=1 B=1,111,0.00000614,0
NOR,4,reverse Y=0,000,0.00606817,0
NOR,4,reverse Y=0,010,0.33131061,1
NOR,4,reverse Y=0,100,0.33131061,1
NOR,4,reverse Y=0,110,0.33131061,1
NOR,5,reverse Y=1,001,0.96465744,1
NOR,5,reverse Y=1,011,0.01766832,0
NOR,5,reverse Y=1,101,0.01766832,0
NOR,5,reverse Y=1,111,0.00000593,0
XOR,0,forward A=0 B=0,0000,0.88053689,1
XOR,0,forward A=0 B=0,0001,0.00029539,0
XOR,0,forward A=0 B=0,0010,0.11916771,0
XOR,0,forward A=0 B=0,0011,0.00000001,0
XOR,1,forward A=0 B=1,0100,0.10647887,0
XOR,1,forward A=0 B=1,0101,0.10647887,0
XOR,1,forward A=0 B=1,0110,0.78677833,1
XOR,1,forward A=0 B=1,0111,0.00026393,0
XOR,2,forward A=1 B=0,1000,0.10647887,0
XOR,2,forward A=1 B=0,1001,0.10647887,0
XOR,2,forward A=1 B=0,1010,0.78677833,1
XOR,2,forward A=1 B=0,1011,0.00026393,0
XOR,3,forward A=1 B=1,1100,0.00026393,0
XOR,3,forward A=1 B=1,1101,0.78677833,1
XOR,3,forward A=1 B=1,1110,0.10647887,0
XOR,3,forward A=1 B=1,1111,0.10647887,0
XOR,4,reverse Y=0,0000,0.39338916,1
XOR,4,reverse Y=0,0001,0.00013197,0
XOR,4,reverse Y=0,0100,0.05323943,0
XOR,4,reverse Y=0,0101,0.05323943,0
XOR,4,reverse Y=0,1000,0.05323943,0
XOR,4,reverse Y=0,1001,0.05323943,0
XOR,4,reverse Y=0,1100,0.00013197,0
XOR,4,reverse Y=0,1101,0.39338916,1
XOR,5,reverse Y=1,0010,0.05623326,0
XOR,5,reverse Y=1,0011,0.00000001,0
XOR,5,reverse Y=1,0110,0.41551072,1
XOR,5,reverse Y=1,0111,0.00013939,0
XOR,5,reverse Y=1,1010,0.41551072,1
XOR,5,reverse Y=1,1011,0.00013939,0
XOR,5,reverse Y=1,1110,0.05623326,0
XOR,5,reverse Y=1,1111,0.05623326,0
XNOR,0,forward A=0 B=0,0000,0.11916771,0
XNOR,0,forward A=0 B=0,0001,0.00000001,0
XNOR,0,forward A=0 B=0,0010,0.88053689,1
XNOR,0,forward A=0 B=0,0011,0.00029539,0
XNOR,1,forward A=0 B=1,0100,0.78677833,1
XNOR,1,forward A=0 B=1,0101,0.00026393,0
XNOR,1,forward A=0 B=1,0110,0.10647887,0
XNOR,1,forward A=0 B=1,0111,0.10647887,0
XNOR,2,forward A=1 B=0,1000,0.78677833,1
XNOR,2,forward A=1 B=0,1001,0.00026393,0
XNOR,2,forward A=1 B=0,1010,0.10647887,0
XNOR,2,forward A=1 B=0,1011,0.10647887,0
XNOR,3,forward A=1 B=1,1100,0.10647887,0
XNOR,3,forward A=1 B=1,1101,0.10647887,0
XNOR,3,forward A=1 B=1,1110,0.00026393,0
XNOR,3,forward A=1 B=1,1111,0.78677833,1
XNOR,4,reverse Y=0,0000,0.05623326,0
XNOR,4,reverse Y=0,0001,0.00000001,0
XNOR,4,reverse Y=0,0100,0.41551072,1
XNOR,4,reverse Y=0,0101,0.00013939,0
XNOR,4,reverse Y=0,1000,0.41551072,1
XNOR,4,reverse Y=0,1001,0.00013939,0
XNOR,4,reverse Y=0,1100,0.05623326,0
XNOR,4,reverse Y=0,1101,0.05623326,0
XNOR,5,reverse Y=1,0010,0.39338916,1
XNOR,5,reverse Y=1,0011,0.00013197,0
XNOR,5,reverse Y=1,0110,0.05323943,0
XNOR,5,reverse Y=1,0111,0.05323943,0
XNOR,5,reverse Y=1,1010,0.05323943,0
XNOR,5,reverse Y=1,1011,0.05323943,0
XNOR,5,reverse Y=1,1110,0.00013197,0
XNOR,5,reverse Y=1,1111,0.39338916,1
