gate,scenario,label,y_clamped,y_value,ab,count,probability,valid_for_clamped_y
XOR,0,forward A=0 B=0,0,0,00,30000,1.000000,0
XOR,0,forward A=0 B=0,0,0,01,0,0.000000,0
XOR,0,forward A=0 B=0,0,0,10,0,0.000000,0
XOR,0,forward A=0 B=0,0,0,11,0,0.000000,0
XOR,1,forward A=0 B=1,0,0,00,0,0.000000,0
XOR,1,forward A=0 B=1,0,0,01,30000,1.000000,0
XOR,1,forward A=0 B=1,0,0,10,0,0.000000,0
XOR,1,forward A=0 B=1,0,0,11,0,0.000000,0
XOR,2,forward A=1 B=0,0,0,00,0,0.000000,0
XOR,2,forward A=1 B=0,0,0,01,0,0.000000,0
XOR,2,forward A=1 B=0,0,0,10,30000,1.000000,0
XOR,2,forward A=1 B=0,0,0,11,0,0.000000,0
XOR,3,forward A=1 B=1,0,0,00,0,0.000000,0
XOR,3,forward A=1 B=1,0,0,01,0,0.000000,0
XOR,3,forward A=1 B=1,0,0,10,0,0.000000,0
XOR,3,forward A=1 B=1,0,0,11,30000,1.000000,0
XOR,4,reverse Y=0,1,0,00,11775,0.392500,1
XOR,4,reverse Y=0,1,0,01,3216,0.107200,0
XOR,4,reverse Y=0,1,0,10,3247,0.108233,0
XOR,4,reverse Y=0,1,0,11,11762,0.392067,1
XOR,5,reverse Y=1,1,1,00,1589,0.052967,0
XOR,5,reverse Y=1,1,1,01,12497,0.416567,1
XOR,5,reverse Y=1,1,1,10,12484,0.416133,1
XOR,5,reverse Y=1,1,1,11,3430,0.114333,0
