gate,scenario,label,state,count,probability,valid_state
XOR,0,forward A=0 B=0,0000,26201,0.873367,1
XOR,0,forward A=0 B=0,0010,3799,0.126633,0
XOR,1,forward A=0 B=1,0100,2991,0.099700,0
XOR,1,forward A=0 B=1,0101,2931,0.097700,0
XOR,1,forward A=0 B=1,0110,24078,0.802600,1
XOR,2,forward A=1 B=0,1000,2991,0.099700,0
XOR,2,forward A=1 B=0,1001,2931,0.097700,0
XOR,2,forward A=1 B=0,1010,24078,0.802600,1
XOR,3,forward A=1 B=1,1100,7,0.000233,0
XOR,3,forward A=1 B=1,1101,23264,0.775467,1
XOR,3,forward A=1 B=1,1110,3393,0.113100,0
XOR,3,forward A=1 B=1,1111,3336,0.111200,0
XOR,4,reverse Y=0,0000,11768,0.392267,1
XOR,4,reverse Y=0,0001,7,0.000233,0
XOR,4,reverse Y=0,0100,1636,0.054533,0
XOR,4,reverse Y=0,0101,1580,0.052667,0
XOR,4,reverse Y=0,1000,1570,0.052333,0
XOR,4,reverse Y=0,1001,1677,0.055900,0
XOR,4,reverse Y=0,1100,5,0.000167,0
XOR,4,reverse Y=0,1101,11757,0.391900,1
XOR,5,reverse Y=1,0010,1589,0.052967,0
XOR,5,reverse Y=1,0110,12496,0.416533,1
XOR,5,reverse Y=1,0111,1,0.000033,0
XOR,5,reverse Y=1,1010,12483,0.416100,1
XOR,5,reverse Y=1,1011,1,0.000033,0
XOR,5,reverse Y=1,1110,1733,0.057767,0
XOR,5,reverse Y=1,1111,1697,0.056567,0
